locus_tag,state,TB.state,TY.state,GR.state,ICE.state,FUN,NCBI,KO,KA,gene,COG,CA,gene_name,start,end,gene_length,strand,ins_index.WTES,ins_index.WTTB,ins_index.WTTY,ins_index.WTGR,ins_index.NSES,ins_index.NSTB,ins_index.NSTY,ins_index.NSGR
R7A2020_00460,NE,NE,NE,NE,NA,NA,MarR family transcriptional regulator,NA,NA,NA,K,helix_turn_helix multiple antibiotic resistance protein,R7A2020_00460,98274,98756,483,-1,0.175,0.071,0.054,0.041,0.19,0.078,0.058,0.063
R7A2020_00465,NE,NE,NE,NE,NA,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,NA,Q,Flavin containing amine oxidoreductase,R7A2020_00465,98756,100327,1572,-1,0.156,0.075,0.049,0.037,0.158,0.064,0.049,0.046
R7A2020_00470,NE,NE,NE,NE,NA,NA,cyclase family protein,K01475,isatin hydrolase [EC:3.5.2.20],hemA,S,Putative cyclase,R7A2020_00470,100385,101176,792,-1,0.154,0.074,0.052,0.037,0.16,0.058,0.04,0.061
R7A2020_00475,NE,NE,NE,NE,NA,NA,NAD(P)/FAD-dependent oxidoreductase,NA,NA,NA,Q,COG1233 Phytoene dehydrogenase and related,R7A2020_00475,101297,102871,1575,1,0.123,0.059,0.043,0.026,0.125,0.054,0.043,0.04
R7A2020_00480,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K02035,peptide/nickel transport system substrate-binding protein,NA,E,ABC transporter substrate-binding protein,R7A2020_00480,102982,104511,1530,1,0.127,0.047,0.047,0.031,0.142,0.055,0.046,0.047
R7A2020_00485,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02033,peptide/nickel transport system permease protein,oppB6,P,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",R7A2020_00485,104602,105609,1008,1,0.148,0.068,0.042,0.055,0.135,0.064,0.057,0.043
R7A2020_00490,NE,NE,NE,NE,NA,NA,ABC transporter permease,K02034,peptide/nickel transport system permease protein,NA,P,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components,R7A2020_00490,105575,106444,870,1,0.159,0.072,0.039,0.05,0.169,0.059,0.069,0.066
R7A2020_00495,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,NA,NA,NA,EP,Belongs to the ABC transporter superfamily,R7A2020_00495,106441,107319,879,1,0.194,0.089,0.049,0.043,0.168,0.067,0.041,0.057
R7A2020_00500,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,NA,NA,NA,E,ATPases associated with a variety of cellular activities,R7A2020_00500,107312,108148,837,1,0.185,0.094,0.063,0.022,0.174,0.072,0.048,0.055
R7A2020_00505,NE,NE,NE,NE,NA,NA,glyoxalase/bleomycin resistance/dioxygenase family protein,NA,NA,NA,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00505,108226,108825,600,1,0.155,0.073,0.053,0.047,0.143,0.043,0.057,0.053
R7A2020_00510,NE,NE,NE,NE,NA,NA,bifunctional salicylyl-CoA 5-hydroxylase/oxidoreductase,K09461,anthraniloyl-CoA monooxygenase [EC:1.14.13.40],namA,CH,Catalyzes the conversion of salicylyl-CoA to gentisyl-CoA,R7A2020_00510,108968,111262,2295,1,0.142,0.062,0.05,0.032,0.154,0.063,0.052,0.054
R7A2020_00515,NE,NE,NE,NE,NA,NA,SDR family oxidoreductase,NA,NA,NA,IQ,Belongs to the short-chain dehydrogenases reductases (SDR) family,R7A2020_00515,111259,112032,774,1,0.159,0.07,0.046,0.049,0.161,0.077,0.038,0.049
R7A2020_00520,NE,NE,NE,NE,NA,NA,MarR family transcriptional regulator,NA,NA,NA,K,COG1846 Transcriptional regulators,R7A2020_00520,112026,112496,471,1,0.142,0.072,0.03,0.017,0.18,0.085,0.05,0.04
R7A2020_00525,NE,NE,NE,NE,NA,NA,enoyl-CoA hydratase family protein,NA,NA,MA20_38145,I,Belongs to the enoyl-CoA hydratase isomerase family,R7A2020_00525,112493,113305,813,1,0.178,0.087,0.065,0.049,0.166,0.061,0.065,0.048
R7A2020_00530,NE,NE,NE,NE,NA,NA,acyl-CoA dehydrogenase,K00249,acyl-CoA dehydrogenase [EC:1.3.8.7],abmD,I,acyl-CoA dehydrogenase,R7A2020_00530,113305,114453,1149,1,0.166,0.074,0.041,0.041,0.168,0.07,0.051,0.055
R7A2020_00535,NE,NE,TY-GD,NE,NA,J,RidA family protein,K09022,2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10],abmE,J,Endoribonuclease L-PSP,R7A2020_00535,114518,114931,414,1,0.102,0.051,0.008,0.04,0.11,0.04,0.028,0.04
R7A2020_00540,NE,NE,NE,NE,NA,NA,LLM class flavin-dependent oxidoreductase,K17228,dimethylsulfone monooxygenase [EC:1.14.14.35],NA,C,Luciferase-like monooxygenase,R7A2020_00540,114928,116022,1095,-1,0.134,0.063,0.04,0.025,0.149,0.07,0.044,0.038
R7A2020_00545,NE,NE,NE,NE,NA,NA,HpcH/HpaI aldolase/citrate lyase family protein,K02510,4-hydroxy-2-oxoheptanedioate aldolase [EC:4.1.2.52],NA,G,Belongs to the HpcH HpaI aldolase family,R7A2020_00545,116113,116907,795,1,0.152,0.065,0.043,0.037,0.137,0.065,0.035,0.027
R7A2020_00550,NE,NE,NE,NE,NA,NA,amino acid ABC transporter substrate-binding protein,K02030,polar amino acid transport system substrate-binding protein,NA,ET,Bacterial periplasmic substrate-binding proteins,R7A2020_00550,117308,118105,798,1,0.191,0.096,0.054,0.044,0.191,0.087,0.056,0.065
R7A2020_00555,NE,NE,NE,NE,NA,NA,amino acid ABC transporter permease,K02029,polar amino acid transport system permease protein,yecS,E,"polar amino acid ABC transporter, inner membrane subunit",R7A2020_00555,118257,118931,675,1,0.158,0.073,0.043,0.042,0.195,0.087,0.05,0.043
R7A2020_00560,NE,NE,NE,NE,NA,NA,cysteine desulfurase-like protein,NA,NA,NA,E,Aminotransferase class-V,R7A2020_00560,118980,120254,1275,1,0.145,0.071,0.039,0.022,0.152,0.064,0.043,0.04
R7A2020_00565,NE,NE,NE,NE,NA,NA,dipeptide ABC transporter ATP-binding protein,K02032,peptide/nickel transport system ATP-binding protein,dppF,E,Belongs to the ABC transporter superfamily,R7A2020_00565,120438,121268,831,-1,0.201,0.091,0.052,0.038,0.216,0.115,0.051,0.051
R7A2020_00570,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K02031,peptide/nickel transport system ATP-binding protein,gsiA,P,ABC-type dipeptide oligopeptide nickel transport system ATPase component,R7A2020_00570,121265,122122,858,-1,0.167,0.078,0.062,0.04,0.181,0.085,0.062,0.045
R7A2020_00575,NE,NE,NE,NE,NA,NA,ABC transporter permease subunit,K12370,dipeptide transport system permease protein,dppC,EP,COG1173 ABC-type dipeptide oligopeptide nickel transport systems permease components,R7A2020_00575,122125,123048,924,-1,0.137,0.059,0.048,0.028,0.205,0.092,0.038,0.053
R7A2020_00580,NE,NE,NE,NE,NA,NA,ABC transporter permease subunit,K12369,dipeptide transport system permease protein,dppB,EP,"COG0601 ABC-type dipeptide oligopeptide nickel transport systems, permease components",R7A2020_00580,123050,124057,1008,-1,0.136,0.055,0.036,0.034,0.138,0.056,0.041,0.038
R7A2020_00585,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K12368,dipeptide transport system substrate-binding protein,dppA,E,ABC-type dipeptide transport system periplasmic component,R7A2020_00585,124108,125700,1593,-1,0.135,0.057,0.04,0.034,0.17,0.066,0.058,0.053
R7A2020_00590,NE,NE,NE,NE,NA,NA,long-chain fatty acid--CoA ligase,K01897,long-chain acyl-CoA synthetase [EC:6.2.1.3],fadD,IQ,AMP-binding enzyme C-terminal domain,R7A2020_00590,126169,128220,2052,1,0.176,0.083,0.053,0.04,0.221,0.116,0.052,0.073
R7A2020_00595,NE,NE,NE,NE,NA,NA,methyltransferase,K22843,ETFB lysine methyltransferase [EC:2.1.1.-],prmA_2,S,Lysine methyltransferase,R7A2020_00595,128393,129067,675,1,0.167,0.08,0.057,0.035,0.167,0.07,0.054,0.063
R7A2020_00600,NE,NE,NE,NE,NA,NA,HAD family hydrolase,K01091,phosphoglycolate phosphatase [EC:3.1.3.18],gph,S,"Subfamily IA, variant 1 with third motif having Dx(3-4)D or Dx(3-4)E",R7A2020_00600,129051,129773,723,-1,0.22,0.122,0.068,0.041,0.215,0.101,0.068,0.057
R7A2020_00605,NE,NE,NE,NE,NA,NA,glucose-6-phosphate isomerase,K01810,glucose-6-phosphate isomerase [EC:5.3.1.9],pgi,G,Belongs to the GPI family,pgi,129779,131422,1644,-1,0.144,0.052,0.074,0.034,0.136,0.039,0.057,0.048
R7A2020_00610,NE,NE,NE,NE,NA,NA,PLP-dependent aminotransferase family protein,K00375,GntR family transcriptional regulator / MocR family aminotransferase,NA,K,COG1167 Transcriptional regulators containing a DNA-binding HTH domain and an aminotransferase domain (MocR family) and their eukaryotic orthologs,R7A2020_00610,131726,133219,1494,1,0.142,0.055,0.047,0.036,0.168,0.071,0.035,0.05
R7A2020_00615,NE,NE,NE,NE,NA,NA,trimethylamine methyltransferase family protein,K14083,trimethylamine---corrinoid protein Co-methyltransferase [EC:2.1.1.250],mttB2,H,Trimethylamine methyltransferase (MTTB),R7A2020_00615,133412,135001,1590,1,0.19,0.078,0.057,0.053,0.178,0.082,0.055,0.061
R7A2020_00620,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00620,135044,135514,471,-1,0.17,0.075,0.045,0.042,0.155,0.07,0.037,0.05
R7A2020_00625,NE,NE,NE,NE,NA,NA,chromate efflux transporter,K07240,chromate transporter,chrA,P,"TIGRFAM chromate transporter, chromate ion transporter (CHR) family",chrA,135507,136898,1392,-1,0.186,0.079,0.058,0.046,0.191,0.101,0.046,0.052
R7A2020_00630,NE,NE,NE,NE,NA,NA,sulfurtransferase,NA,NA,chrB,P,Chromate resistance exported protein,R7A2020_00630,136895,137713,819,-1,0.145,0.056,0.056,0.032,0.15,0.077,0.039,0.039
R7A2020_00635,NE,NE,NE,NE,NA,NA,dihydroxy-acid dehydratase family protein,NA,NA,MA20_27195,EG,Belongs to the IlvD Edd family,R7A2020_00635,137914,139719,1806,-1,0.205,0.088,0.066,0.072,0.243,0.117,0.057,0.092
R7A2020_00640,NE,NE,NE,NE,NA,NA,carbon monoxide dehydrogenase subunit G,K09386,uncharacterized protein,coxG,S,carbon monoxide dehydrogenase subunit G,R7A2020_00640,139869,140318,450,1,0.115,0.052,0.042,0.034,0.115,0.06,0.029,0.034
R7A2020_00645,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,D,Mrp/NBP35 family ATP-binding protein,K03593,ATP-binding protein involved in chromosome partitioning,mrp,D,Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP,R7A2020_00645,140334,141503,1170,-1,0.016,0.006,0.002,0.002,0.013,0.003,0.002,0.004
R7A2020_00650,NE,NE,NE,NE,NA,NA,VOC family protein,NA,NA,NA,E,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,R7A2020_00650,141718,142095,378,1,0.229,0.096,0.099,0.08,0.149,0.056,0.062,0.056
R7A2020_00655,NE,NE,NE,NE,NA,NA,sensor domain-containing diguanylate cyclase,NA,NA,NA,T,Domain present in phytochromes and cGMP-specific phosphodiesterases.,R7A2020_00655,142136,143386,1251,-1,0.207,0.102,0.071,0.044,0.209,0.095,0.077,0.062
R7A2020_00660,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,oxyS,K,Transcriptional regulator,R7A2020_00660,143559,144458,900,1,0.2,0.089,0.073,0.042,0.193,0.073,0.055,0.065
R7A2020_00665,NE,NE,NE,NE,NA,NA,formate dehydrogenase subunit gamma,NA,NA,fdsG,C,COG1905 NADH ubiquinone oxidoreductase 24 kD subunit,R7A2020_00665,144594,145073,480,1,0.164,0.076,0.051,0.037,0.184,0.081,0.059,0.054
R7A2020_00670,NE,NE,NE,NE,NA,NA,NADH-quinone oxidoreductase subunit NuoF,NA,NA,fdsB,C,NADH ubiquinone oxidoreductase NADH-binding (51 kD) subunit,R7A2020_00670,145070,146626,1557,1,0.15,0.06,0.063,0.042,0.195,0.082,0.056,0.072
R7A2020_00675,NE,NE,NE,NE,NA,NA,formate dehydrogenase subunit alpha,K00123,formate dehydrogenase major subunit [EC:1.17.1.9],fdsA,C,Belongs to the prokaryotic molybdopterin-containing oxidoreductase family,fdhF,146637,149549,2913,1,0.161,0.069,0.051,0.039,0.173,0.073,0.058,0.057
R7A2020_00680,NE,NE,NE,NE,NA,NA,formate dehydrogenase accessory sulfurtransferase FdhD,K02379,FdhD protein,fdhD,C,Required for formate dehydrogenase (FDH) activity. Acts as a sulfur carrier protein that transfers sulfur from IscS to the molybdenum cofactor prior to its insertion into FDH,fdhD,149552,150382,831,1,0.117,0.057,0.03,0.02,0.143,0.064,0.05,0.047
R7A2020_00685,NE,NE,NE,NE,NA,NA,formate dehydrogenase subunit delta,K00126,formate dehydrogenase subunit delta [EC:1.17.1.9],fdsD,S,NADH-dependant formate dehydrogenase delta subunit FdsD,R7A2020_00685,150372,150680,309,1,0.114,0.049,0.042,0.015,0.136,0.08,0.03,0.023
R7A2020_00690,NE,NE,NE,NE,NA,NA,alpha/beta fold hydrolase,NA,NA,NA,KT,"Serine aminopeptidase, S33",R7A2020_00690,150795,152348,1554,1,0.148,0.063,0.047,0.033,0.153,0.067,0.045,0.036
R7A2020_00695,NE,NE,NE,NE,NA,NA,carboxymuconolactone decarboxylase family protein,K01607,4-carboxymuconolactone decarboxylase [EC:4.1.1.44],pcaC,S,Antioxidant protein with alkyl hydroperoxidase activity. Required for the reduction of the AhpC active site cysteine residues and for the regeneration of the AhpC enzyme activity,R7A2020_00695,152457,152936,480,1,0.176,0.074,0.051,0.051,0.167,0.076,0.059,0.047
R7A2020_00700,NE,NE,NE,NE,NA,NA,nuclear transport factor 2 family protein,NA,NA,NA,S,SnoaL-like domain,R7A2020_00700,153021,153383,363,1,0.165,0.081,0.055,0.029,0.168,0.078,0.045,0.045
R7A2020_00705,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00705,153421,153735,315,1,0.178,0.056,0.059,0.041,0.134,0.048,0.048,0.052
R7A2020_00710,NE,NE,NE,NE,NA,NA,gamma-aminobutyraldehyde dehydrogenase,K00137,aminobutyraldehyde dehydrogenase [EC:1.2.1.19],prr,C,Belongs to the aldehyde dehydrogenase family,R7A2020_00710,153917,155344,1428,-1,0.172,0.072,0.058,0.039,0.17,0.067,0.044,0.058
R7A2020_00715,NE,NE,NE,NE,NA,NA,ABC transporter permease,NA,NA,ydcV,E,"ABC-type spermidine putrescine transport system, permease component II",R7A2020_00715,155371,156186,816,-1,0.155,0.068,0.049,0.032,0.135,0.053,0.027,0.04
R7A2020_00720,NE,NE,NE,NE,NA,NA,ABC transporter permease,NA,NA,ydcU,E,"ABC-type spermidine putrescine transport system, permease component I",R7A2020_00720,156176,157144,969,-1,0.138,0.052,0.046,0.039,0.164,0.057,0.051,0.061
R7A2020_00725,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,K02052,putative spermidine/putrescine transport system ATP-binding protein,ydcT,P,Belongs to the ABC transporter superfamily,R7A2020_00725,157141,158139,999,-1,0.16,0.081,0.046,0.029,0.153,0.059,0.066,0.043
R7A2020_00730,NE,NE,NE,NE,NA,NA,ABC transporter substrate-binding protein,K02055,putative spermidine/putrescine transport system substrate-binding protein,ydcS,E,Extracellular solute-binding protein,R7A2020_00730,158314,159468,1155,-1,0.171,0.079,0.077,0.048,0.19,0.091,0.059,0.054
R7A2020_00735,NE,NE,NE,NE,NA,NA,class I SAM-dependent methyltransferase,NA,NA,NA,Q,Putative methyltransferase,R7A2020_00735,159682,160527,846,-1,0.139,0.056,0.038,0.044,0.124,0.04,0.04,0.05
R7A2020_00740,NE,NE,NE,NE,NA,NA,helix-turn-helix domain-containing protein,NA,NA,NA,K,"MerR, DNA binding",R7A2020_00740,160604,161086,483,1,0.185,0.078,0.066,0.049,0.156,0.061,0.039,0.061
R7A2020_00745,NE,NE,NE,NE,NA,NA,LysR family transcriptional regulator,NA,NA,NA,K,LysR substrate binding domain,R7A2020_00745,161093,161998,906,-1,0.174,0.078,0.054,0.035,0.156,0.067,0.042,0.054
R7A2020_00750,NE,NE,NE,NE,NA,NA,DedA family protein,K03975,membrane-associated protein,dedA,S,SNARE associated Golgi protein,R7A2020_00750,162073,162690,618,-1,0.159,0.061,0.061,0.038,0.169,0.074,0.059,0.04
R7A2020_00755,NE,NE,NE,NE,NA,NA,phospholipid methyltransferase,K00570,phosphatidylethanolamine/phosphatidyl-N-methylethanolamine N-methyltransferase [EC:2.1.1.17 2.1.1.71],NA,I,Phospholipid N-methyltransferase,R7A2020_00755,162687,163286,600,-1,0.175,0.078,0.061,0.043,0.147,0.067,0.047,0.055
R7A2020_00760,NE,NE,NE,NE,NA,NA,response regulator transcription factor,NA,NA,NA,T,"Transcriptional regulatory protein, C terminal",R7A2020_00760,163575,164249,675,1,0.16,0.056,0.049,0.042,0.169,0.073,0.042,0.042
R7A2020_00765,NE,NE,NE,NE,NA,NA,HAMP domain-containing histidine kinase,NA,NA,NA,T,PhoQ Sensor,R7A2020_00765,164260,165621,1362,1,0.189,0.078,0.049,0.046,0.193,0.084,0.049,0.06
R7A2020_00770,NE,NE,NE,NE,NA,NA,DeoR/GlpR transcriptional regulator,K02444,"DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor",NA,K,DeoR C terminal sensor domain,R7A2020_00770,165695,166471,777,-1,0.154,0.066,0.054,0.035,0.162,0.053,0.053,0.056
R7A2020_00775,NE,NE,NE,NE,NA,NA,phosphotransferase family protein,K07251,thiamine kinase [EC:2.7.1.89],NA,M,Choline kinase,R7A2020_00775,166898,167785,888,1,0.159,0.065,0.045,0.04,0.151,0.058,0.05,0.049
R7A2020_00780,NE,NE,NE,NE,NA,NA,FAD-dependent oxidoreductase,K00314,sarcosine dehydrogenase [EC:1.5.8.3],Sardh,E,Belongs to the GcvT family,R7A2020_00780,167782,170235,2454,1,0.154,0.069,0.044,0.034,0.153,0.06,0.047,0.05
R7A2020_00785,NE,NE,NE,NE,NA,NA,class I SAM-dependent methyltransferase,NA,NA,NA,S,Methyltransferase domain,R7A2020_00785,170232,170864,633,-1,0.174,0.083,0.071,0.037,0.182,0.063,0.052,0.052
R7A2020_00790,NE,NE,NE,NE,NA,NA,phosphotransferase family protein,K07251,thiamine kinase [EC:2.7.1.89],pck,M,Choline ethanolamine kinase,R7A2020_00790,170968,171870,903,1,0.154,0.065,0.047,0.031,0.145,0.068,0.04,0.047
R7A2020_00795,NE,NE,NE,NE,NA,NA,DUF805 domain-containing protein,NA,NA,NA,S,Protein of unknown function (DUF805),R7A2020_00795,171899,172372,474,-1,0.059,0.025,0.02,0.017,0.079,0.025,0.03,0.022
R7A2020_00800,NE,NE,NE,NE,NA,NA,DMT family transporter,K15270,S-adenosylmethionine uptake transporter,MA20_44015,EG,EamA-like transporter family,R7A2020_00800,172642,173565,924,-1,0.193,0.083,0.06,0.048,0.184,0.083,0.056,0.055
R7A2020_00805,NE,NE,NE,NE,NA,NA,amidohydrolase family protein,K01485,cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21],codA,F,cytosine,R7A2020_00805,173673,174953,1281,-1,0.208,0.096,0.068,0.071,0.202,0.083,0.083,0.072
R7A2020_00810,NE,NE,NE,NE,NA,NA,ABC transporter ATP-binding protein,NA,NA,msbA,V,ABC transporter,R7A2020_00810,175106,176860,1755,1,0.172,0.086,0.05,0.038,0.171,0.07,0.046,0.054
R7A2020_00815,NE,NE,NE,GR-ES,NA,E,dihydroxy-acid dehydratase,K01687,dihydroxy-acid dehydratase [EC:4.2.1.9],ilvD,E,Belongs to the IlvD Edd family,ilvD,176905,178749,1845,-1,0.153,0.078,0.052,0.001,0.16,0.076,0.055,0.001
R7A2020_00820,NE,NE,TY-GD,NE,NA,K,winged helix-turn-helix transcriptional regulator,NA,NA,NA,K,"helix_turn_helix, Arsenical Resistance Operon Repressor",R7A2020_00820,178946,179290,345,1,0.105,0.051,0.017,0.034,0.105,0.058,0.02,0.017
R7A2020_00825,NE,NE,NE,NE,NA,NA,SRPBCC family protein,NA,NA,NA,S,Activator of Hsp90 ATPase homolog 1-like protein,R7A2020_00825,179310,179894,585,1,0.223,0.098,0.08,0.06,0.233,0.108,0.068,0.08
R7A2020_00830,NE,NE,NE,NE,NA,NA,VOC family protein,NA,NA,NA,S,3-demethylubiquinone-9 3-methyltransferase,R7A2020_00830,179942,180412,471,1,0.202,0.092,0.042,0.052,0.167,0.057,0.057,0.062
R7A2020_00835,NE,NE,NE,NE,NA,NA,peptide chain release factor 3,K02837,peptide chain release factor 3,prfC,J,"Increases the formation of ribosomal termination complexes and stimulates activities of RF-1 and RF-2. It binds guanine nucleotides and has strong preference for UGA stop codons. It may interact directly with the ribosome. The stimulation of RF- 1 and RF-2 is significantly reduced by GTP and GDP, but not by GMP",R7A2020_00835,180463,182055,1593,-1,0.093,0.024,0.03,0.041,0.111,0.038,0.035,0.044
R7A2020_00840,NE,NE,NE,NE,NA,NA,haloalkane dehalogenase,K01563,haloalkane dehalogenase [EC:3.8.1.5],dhaA,S,"Catalyzes hydrolytic cleavage of carbon-halogen bonds in halogenated aliphatic compounds, leading to the formation of the corresponding primary alcohols, halide ions and protons",R7A2020_00840,182154,183083,930,-1,0.153,0.072,0.047,0.046,0.183,0.075,0.064,0.058
R7A2020_00845,NE,NE,NE,NE,NA,NA,TetR family transcriptional regulator,K16137,"TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon",NA,K,Bacterial transcriptional repressor C-terminal,R7A2020_00845,183080,183673,594,-1,0.128,0.063,0.036,0.016,0.121,0.061,0.028,0.032
R7A2020_00850,NE,NE,NE,NE,NA,NA,FAD-binding oxidoreductase,NA,NA,NA,E,FAD dependent oxidoreductase,R7A2020_00850,183801,184868,1068,1,0.167,0.08,0.055,0.033,0.173,0.075,0.061,0.064
R7A2020_00855,NE,NE,NE,NE,NA,NA,amidase,K01426,amidase [EC:3.5.1.4],gatA3,J,Belongs to the amidase family,R7A2020_00855,184862,186235,1374,-1,0.168,0.074,0.056,0.044,0.165,0.083,0.048,0.05
R7A2020_00860,NE,NE,NE,NE,NA,NA,class II glutamine amidotransferase,K18802,glutamine amidotransferase,egtC,S,Glutamine amidotransferases class-II,R7A2020_00860,186396,187196,801,-1,0.179,0.087,0.075,0.029,0.162,0.072,0.041,0.046
R7A2020_00865,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00865,187212,187460,249,-1,0.099,0.042,0.023,0.028,0.169,0.042,0.056,0.075
R7A2020_00870,NE,NE,NE,NE,NA,NA,Lrp/AsnC family transcriptional regulator,K05800,Lrp/AsnC family transcriptional regulator,NA,K,Transcriptional regulator,R7A2020_00870,187574,188044,471,1,0.187,0.062,0.065,0.027,0.147,0.06,0.047,0.052
R7A2020_00875,CORE-ES,CORE-ES,CORE-ES,CORE-ES,NA,F,dUTP diphosphatase,K01520,dUTP pyrophosphatase [EC:3.6.1.23],dut,F,"This enzyme is involved in nucleotide metabolism it produces dUMP, the immediate precursor of thymidine nucleotides and it decreases the intracellular concentration of dUTP so that uracil cannot be incorporated into DNA",dut,188141,188626,486,1,0.005,0,0,0.002,0.01,0.002,0.005,0.005
R7A2020_00880,NE,NE,NE,NE,NA,NA,HAD family phosphatase,NA,NA,NA,S,"TIGRFAM haloacid dehalogenase superfamily, subfamily IA, variant 3 with third motif having DD or ED",R7A2020_00880,188626,189285,660,1,0.152,0.071,0.071,0.023,0.189,0.084,0.039,0.061
R7A2020_00885,NE,NE,NE,NE,NA,NA,hypothetical protein,NA,NA,NA,NA,NA,R7A2020_00885,189357,190211,855,1,0.174,0.08,0.044,0.04,0.196,0.085,0.048,0.059
R7A2020_00890,NE,NE,NE,NE,NA,NA,oxaloacetate decarboxylase,NA,NA,NA,G,Phosphoenolpyruvate phosphomutase,R7A2020_00890,190285,191088,804,1,0.13,0.067,0.037,0.032,0.133,0.06,0.039,0.034
R7A2020_00895,NE,NE,NE,NE,NA,NA,sulfate transporter family protein,K06203,CysZ protein,cysZ,E,Etoposide-induced protein 2.4 (EI24),R7A2020_00895,191116,191814,699,-1,0.148,0.072,0.055,0.03,0.2,0.079,0.062,0.064
